##SAMPLES	DCM-25	DCM-39	DCM-41	DCM-42	DCM-52	DCM-66	DCM-100-1	DCM-100-2	DCM-102	DCM-109	DCM-110	DCM-111	DCM-112	DCM-122	DCM-128	DCM-132	DCM-133	DCM-137	DCM-138	DCM-142	DCM-150	DCM-151	DCM-155	DCM-158	DCM-168	DCM-173	DCM-173-MIX	DCM-180	DCM-188	DCM-189	DCM-194	DCM-201	DCM-68	DCM-72	DCM-76	DCM-78	DCM-82	DCM-85	DCM-93	DCM-98	MIX-168	MIX-175	SRF-205	SRF-18	SRF-25	SRF-31	SRF-32	SRF-33	SRF-41	SRF-42	SRF-52	SRF-84	SRF-85	SRF-100	SRF-101	SRF-109	SRF-110	SRF-111	SRF-112	SRF-122	SRF-123	SRF-124	SRF-125	SRF-128	SRF-132	SRF-133	SRF-137	SRF-138	SRF-140	SRF-141	SRF-142	SRF-145	SRF-148	SRF-149	SRF-150	SRF-151	SRF-152	SRF-158	SRF-163	SRF-168	SRF-173	SRF-175	SRF-178	SRF-180	SRF-188	SRF-189	SRF-191	SRF-193	SRF-194	SRF-196	SRF-201	SRF-206	SRF-208	SRF-209	SRF-210	SRF-67	SRF-68	SRF-70	SRF-72	SRF-76	SRF-78	SRF-82	SRF-93	SRF-96	SRF-98	SRF-99
aapJ-PRO-HLI	12.98434166	206.6682253	9015.959266	8870.238033	285.4286789	655.1292736	465.3057298	17.69302774	1030.50001	1745.420227	1065.979684	177.415121	77.54819121	303.3749018	2442.194577	114.0220274	251.2411414	24.88835319	448.5325792	28.48255085	70.45220948	183.6648245	0	0	0	0	0	0	0	0	0	0	104.5839838	158.081942	166.703905	271.6661835	0	0	184.7647134	62.26827063	0	0	0	5.1089461	55.13983899	258.9403597	349.2414686	265.172967	326.308739	256.5152428	1086.138342	0	0	2355.375129	2580.499282	844.2098989	2565.659262	1608.555566	39.61639972	1898.57528	113.1141494	939.432944	1428.254907	2229.379915	77.65131683	1766.912561	1294.072233	297.3555378	187.032754	10.09051686	12.34858225	0	15.72788013	49.86447096	89.92670808	222.9144553	215.7708488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.446205	1079.003136	134.1142902	138.7274048	278.9632849	0	402.0524812	17.15766759	15.21965412	119.3956336
aapJ-PRO-HLII	19.47651249	365.8445099	15048.91827	14871.09466	469.1104288	821.2183852	754.9348065	41.28373139	1720.826894	2865.791319	1863.473556	329.8101608	166.3533779	564.2950068	3788.272778	258.8300022	297.3874735	46.22122734	948.8189174	64.66308842	125.7534062	292.1940389	0	0	0	0	0	0	0	0	0	0	165.1598556	372.1929266	294.6667617	426.1430329	0	0	258.6705987	123.711796	0	0	0	9.70699759	172.0362977	450.651982	618.7132941	489.1215652	585.8840423	442.6739426	1862.331837	0	0	3782.050343	4288.182631	1321.864918	4189.421093	2774.690076	65.81937276	3383.931234	199.2963585	1478.712504	2289.18905	3582.42227	139.2981638	2189.211521	2018.657239	491.8084819	334.1499812	25.00693309	35.67368205	0	25.55780521	74.79670644	153.80568	371.5240921	293.1046486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213.6157313	1427.252825	237.9871227	248.553267	479.7902504	0	563.8345553	27.71623227	26.63439472	195.4108537
aapJ-PRO-HLVI	32.13624562	547.9839307	26133.89455	25806.68667	736.4059916	1181.078127	1119.10776	76.66978687	2580.824481	4437.259192	3007.95121	558.4027206	295.1834375	978.229275	6147.709724	450.3870082	516.5825509	81.77601761	1531.91127	95.45503529	184.8423561	489.7728653	0	0	0	0	0	0	0	0	0	0	242.3034872	634.3288051	469.5884648	683.6044487	0	0	374.1485445	232.9905491	0	0	0	11.75057603	252.9080615	696.8248663	931.559863	729.2256593	861.9524	679.3277689	2948.47018	0	0	6243.105117	6554.025444	2073.869259	6493.121151	4499.312894	104.8118922	5469.173159	328.5696722	2388.332696	3727.396953	5689.057837	207.7617294	3279.531432	3206.14946	784.0372001	493.8120882	39.4846312	52.13845838	8.347955937	39.31970032	124.6611774	242.4920197	560.2984957	451.5912012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.91960224	317.2316378	2195.114845	351.0638772	366.471561	722.1790879	0	845.7518329	39.59461752	42.4882011	299.2850549
aapJ-PRO-LLI	24840.66864	540.1555889	38479.36421	33063.40957	64964.91052	38246.63153	103613.6152	2653.954161	98783.28186	59521.18842	111393.1705	98962.76104	68314.70319	91168.13811	78150.22647	81317.08927	68999.02122	1948.402507	100542.8904	687.4302138	16700.20385	28376.21538	925.8889292	0	0	0	0	0	0	0	0	0	37813.8408	81547.27012	25408.25786	49679.39966	0	0	2960.854531	61482.28836	0	0	0	7586.784959	3796.561714	1618.875978	1204.27233	806.1035363	847.48926	685.7238183	41068.22476	0	0	102525.2682	80776.58476	23459.51232	52971.61815	89359.49473	3525.859575	82142.89651	3820.744603	38683.03961	47928.65161	73853.56191	172.7889989	11057.48967	42844.36938	3816.917205	440.211238	133.3703098	436.3165728	968.3628887	5149.897749	10120.70673	17037.70017	5993.587313	19100.49381	300.3254518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1851.804621	4284.654888	1707.588067	32687.62653	84606.12021	1289.863908	341.0382035	2519.646928	0	2513.228458	73.25004242	39.31743982	347.4412938
aapJ-PRO-LLIIxIII	1166.967707	167.0046265	4330.539663	3011.348892	2071.876411	498.2673348	2038.323977	2276.502902	2070.148931	8097.629483	4587.01183	2256.356411	1619.256264	3717.44814	9993.406165	4050.062413	1329.270733	2122.620979	3852.204805	70.82147779	325.746775	1216.083762	663.323412	0	0	0	0	0	0	0	0	0	475.2876096	2471.280991	1708.128041	797.2425908	0	0	646.6764967	1472.582745	0	0	0	223.7718392	216.8833667	81.39265544	66.3085158	261.2733646	59.88247466	52.51493159	6190.376116	0	0	15440.43669	7162.782934	3490.207084	7596.816915	11324.06732	69.25071447	11798.28924	818.7309864	5665.085405	7003.591427	9868.074732	13.04067916	584.589764	6386.846978	568.7107761	154.5301108	257.9662571	54.19655542	563.4870257	202.4964566	327.6808092	369.0095952	143.589041	379.985831	420.4556325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1610.264888	1904.291061	1252.231249	448.8385711	1480.061179	51.2789933	41.61822144	105.0684124	0	509.373263	2.639641168	3.804913531	15.91941781
aapJ-PRO-LLIV	627.1437023	1416.407989	369.9455993	571.9651794	166.5560291	322.9510504	159.0585913	52837.27851	741.0617507	431.9325393	673.4898322	108.7994439	73.54570392	441.3529912	430.677467	1314.103866	449.9267379	50462.91382	1016.098804	390.2879265	274.9908822	1266.174169	925.8889292	974.9847999	371.5790021	0	0	0	0	0	0	0	264.048672	413.2141901	2487.644892	314.2804868	347.1559212	0	1025.444159	89.48486574	0	0	0	121.0820226	735.9330511	147.0254585	80.76676361	2029.464535	113.1677275	24.91092909	161.6293145	0	0	790.9961344	747.9020591	682.4722818	1450.406475	286.7543878	14.6611873	295.1566611	3436.515588	2207.468667	1998.893337	453.8686382	7.409476797	197.1490406	518.5833411	48.70478637	1392.481662	2414.704557	371.1434998	1193.757699	1386.019436	1542.236852	205.9011523	148.6096368	656.859929	780.8461747	0	0	0	0	0	0	0	0	690.3908617	0	0	635.0705521	0	502.0306213	0	1288.21191	1171.871422	1337.610653	352.0976537	191.2518785	38.56881547	99.99933763	211.4668047	0	1382.355742	0	0.634152255	0
aapJ-SYN	1358.486746	21010.22579	3830.025028	3115.094366	1169.921785	12078.36928	2114.767062	11518.16106	15910.78708	9051.419084	6365.161506	588.7300917	127.5792823	1362.091396	7257.337551	816.3977161	12182.63167	11789.96845	1287.80604	7296.15181	6343.729056	6300.26004	40490.36661	3899.9392	4236.000624	0	0	0	0	0	348.65505	0	8840.453086	608.315321	2196.500044	1633.548293	4999.045265	0	49091.98434	149.2789005	2157.57099	177.2040805	0	449.0763622	21489.83325	2566.063056	1235.930907	28697.73156	1882.999341	533.9018045	2273.727704	0	0	3940.569811	14089.96881	17018.7274	25754.82733	3301.771951	174.0626066	3114.301635	43979.85858	28477.80331	29218.67821	7742.884788	163.8976267	8087.110791	9725.823766	537.2174556	20670.54064	35818.70255	9100.219084	39189.47915	23627.20792	30319.37922	6518.756059	5579.890216	17577.68627	14715.94714	0	84.20639874	0	0	0	0	0	435.5681679	6213.517755	0	0	2143.363113	0	2008.122485	0	21899.60247	34130.75518	36741.60324	12611.67635	5940.226257	635.9471733	1916.75031	4047.793838	244.5479076	51432.28334	54.11264395	133.8061258	68.4534966
amt1-PRO-HLI	10142.48194	11828.05548	23875.6756	25378.09971	8121.992224	10745.04661	2741.325822	1102.246895	8399.968368	28093.05984	11184.71226	1664.441131	5001.294709	1454.039905	27733.76003	4157.120717	4724.138658	626.1650707	8420.677434	12209.72047	30342.76848	24298.2903	1390.710574	1401.691607	53.42023473	0	0	0	0	0	0	0	15123.02632	4540.310949	10760.34775	9026.326424	1447.362123	0	3307.06714	6266.123181	0	0	0	42452.05904	10880.88239	15125.85065	13287.61039	7129.989751	13115.27795	12642.34307	20713.40813	0	0	39199.31102	22563.81275	15599.13334	23089.32689	28034.24206	15106.00314	34076.26569	1857.213411	15005.91875	20073.10372	27449.38649	14261.04618	26894.02554	20917.53614	18134.30095	9491.84752	2598.587951	11178.47165	1164.14348	6204.671844	4986.149304	26027.45672	34829.89857	19964.9218	302.2350356	0	0	0	0	0	0	0	0	496.2718787	0	0	684.7591853	0	0	0	1273.252802	2290.202425	3109.568162	16713.96232	8367.635633	13675.65189	14237.6746	17818.89092	2021.559014	4359.275002	21578.23526	11377.00513	20361.6607
amt1-PRO-HLII	27978.56855	112486.7622	188181.2837	196762.4525	50912.59046	47828.72292	6927.376768	4141.904677	18657.49558	122415.8447	35671.35695	4125.405089	39276.8776	4126.879328	115274.0551	5784.889199	18912.21883	2862.468895	14032.60229	127092.3168	112401.2765	80122.14699	2523.146326	981.1841252	213.6809389	925.759897	239.6179601	1177.260652	0	415.2156415	350.8719318	492.1776591	49704.45814	23927.79111	96574.77505	66110.94878	3543.541748	0	9386.625305	43956.53249	387.7302946	0	895.3580838	125961.3804	28895.72133	148267.4656	132754.6134	67989.78825	135851.4511	131001.0019	92800.82293	0	0	148338.609	96392.89904	93079.22948	101642.3295	102663.9641	137390.4529	135991.9735	9051.172793	60595.14762	81611.22519	114659.5397	142960.2823	113019.6448	104077.6921	155663.3231	90375.24257	23948.63702	115452.6834	3963.488499	59115.02689	32486.13886	94802.74754	114702.2796	67485.15539	3238.232524	0	121.0597359	849.1283228	672.8661981	0	0	168.2918376	1001.914689	496.2718787	192.9645235	133.6341271	1540.708167	0	649.5720731	1573.681733	3356.757387	4264.51486	4398.402335	51934.7488	35734.81078	131112.099	139276.252	129898.123	18018.24338	16993.80342	101205.0494	113447.3123	140779.3674
amt1-PRO-HLVI	364.0065296	1106.312779	16297.35663	16199.47601	1840.048345	789.296634	511.2681873	1314.217451	1884.462655	12020.96001	3315.260914	356.7048855	538.9163428	597.0019549	10857.24987	957.3180199	562.9898031	822.9598073	2100.674114	717.6980492	1397.855148	1056.186489	615.8861111	0	0	0	0	0	0	0	0	0	676.6005129	850.8138527	1065.823795	686.6747195	0	0	886.5330585	647.0952696	0	63.68957559	0	1408.75202	697.0656115	896.968106	776.9652161	689.1722753	628.1675698	598.6631595	7185.581327	0	0	15851.45231	8130.110448	4745.530935	9571.630896	10521.3067	901.8576272	13796.56973	1209.318253	6307.629128	8298.01169	10994.11795	587.5792193	1256.138962	7248.469995	1741.566774	971.031946	640.8168346	721.4621506	573.0706308	665.6190499	665.6733345	1123.875416	1227.762045	942.965266	129.529301	0	0	0	0	0	0	0	0	198.5087515	0	0	114.1265309	0	0	0	347.2507642	737.0766425	664.8747716	690.8113005	873.0821388	816.6073007	822.6987602	1043.024384	263.6816105	902.7130485	628.0547711	454.4784885	1023.604434
