## Layer	Depth.nominal-3	Layer	polar	upper.size.fraction	Depth.nominal-1	Depth.nominal-2	Ocean.region	TemperatureInterval5	TemperatureInterval5x	TemperatureInterval5x2	TemperatureInterval10	TemperatureInterval10x	TemperatureInterval10x2	ChlorophyllA-RANGE1	ChlorophyllA-RANGE2	PO4-CAT1	PO4-CAT2	Ammonium.5m-range1	Ammonium.5m-range2	NO2-RANGE1	NO2-RANGE1	NO2NO3-RANGE1XX	NO2NO3-RANGE1	NO2NO3-RANGE2	Iron.5m-CAT1	Iron.5m-CAT2
DCM-76	D5   100 to 200	DCM	non polar	3 um	100 to 150m	D5 100 to 150m	S-Atlantic	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.010-0.050	0.010-0.100	0.0090 to 0.0120	0.0090 to 0.0150	0.0400 to 0.0500	0.0250 to 0.0500	0	0	0	0.0005 - 0.0010	0.00050-0.00100
SRF-32	D1   5m	SRF	non polar	1.6 um	5m	D1 5m 	RedSea	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.001-0.010	0.001-0.010	0.0160 to 0.0200	0.0160 to 0.0300	0.0070 to 0.0100	0.0010 to 0.0100	0	0	0	> 0.0010	0.00100-0.00140
SRF-76	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Atlantic	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.050-0.100	0.010-0.100	0.0090 to 0.0120	0.0090 to 0.0150	0.0010 to 0.0020	0.0010 to 0.0100	0	0	0	0.0005 - 0.0010	0.00050-0.00100
SRF-52	D1   5m	SRF	non polar	1.6 um	5m	D1 5m 	ArcticOcean	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.1 to 0.15	0.100-0.500	0.100-1.000	0.0090 to 0.0120	0.0090 to 0.0150	0	0	0	0	0	> 0.0010	0.00100-0.00140
SRF-132	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.001-0.010	0.001-0.010	0.0210 to 0.0300	0.0160 to 0.0300	0.0010 to 0.0020	0.0010 to 0.0100	0.0005  to 0.0100	0.0005  to 0.0100	0.0005 to 0.0100	0.0005 - 0.0010	0.00050-0.00100
SRF-138	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.1 to 0.15	0.100-0.500	0.100-1.000	0.0130 to 0.0150	0.0090 to 0.0150	0.0030 to 0.0060	0.0010 to 0.0100	0.0005  to 0.0100	0.0005  to 0.0100	0.0005 to 0.0100	< 0.0001	0.00002-0.00005
SRF-140	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.15 to 0.20	0.050-0.100	0.010-0.100	0.0160 to 0.0200	0.0160 to 0.0300	0.0030 to 0.0060	0.0010 to 0.0100	0.0005  to 0.0100	0.0005  to 0.0100	0.0005 to 0.0100	< 0.0001	0.00005-0.00010
SRF-141	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Atlantic	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.010-0.050	0.010-0.100	0.0060 to 0.0080	0.0020 to 0.0080	0.0010 to 0.0020	0.0010 to 0.0100	0.0005  to 0.0100	0.0005  to 0.0100	0.0005 to 0.0100	> 0.0010	0.00100-0.00140
SRF-33	D1   5m	SRF	non polar	1.6 um	5m	D1 5m 	RedSea	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.1 to 0.15	0.010-0.050	0.010-0.100	0.0160 to 0.0200	0.0160 to 0.0300	0.0030 to 0.0060	0.0010 to 0.0100	0.0005  to 0.0100	0.0005  to 0.0100	0.0005 to 0.0100	> 0.0010	0.00100-0.00140
DCM-39	D2   20 to 50m	DCM	non polar	1.6 um	10 to 25m	D2 10 to 25m	ArcticOcean	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.15 to 0.20	0.100-0.500	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.0110 to 0.0150	0.0110 to 0.0200	0.0400 to 0.0600	0.0400 to 0.0600	0.0100 to 0.1000	> 0.0010	0.00100-0.00140
